"key","translation","context"
"meta.hero.catch.1","A space [tailor made] for someone like you","Hero text to catch focus with brackets surrounding keywords"
"meta.hero.catch.2","make a profile that's as unique as you are display all your favourite things and share your most real self with the world","Secondary hero text"
"meta.hero.feature.1.title","Anonymous","Hero feature 1 title"
"meta.hero.feature.1.text","we don't store nor really care about any personal information so you can be yourself freely.","Hero feature 1 text"
"meta.hero.feature.2.title","Free + open source","Hero feature 2 title"
"meta.hero.feature.2.text","never pay for anything and feel free to change things you don't like.","Hero feature 2 text"
"meta.cta.1","Create","Create button text"
"meta.error.404.title","uh... we checked and no one lives here right now","404 error title"
"meta.error.404.button","want to go home?","404 error button text"
"meta.error.invalid.fields","please fill in all the fields","Error message for invalid fields"
"login.username.label","Username","Username label"
"login.username.description","the username tied to your account. not your display name!","Username description"
"login.password.label","Password","Password label"
"login.password.description","your most super secret password","Password description"
"login.register","Register","Register button text"
"login.login","Login","Login button text"
"login.register.alt","Register instead?","Register button alt text"
"login.login.alt","Login instead?","Login button alt text"
"user.avatar.default","Avatar of %s","Alt text of avatar without ring"
"user.avatar.ring","Avatar of %s with %s ring","Alt text of avatar with ring (pride flag)"
"user.banner","Banner of %s","Alt text of user banner"
"user.location","From %s","Alt text of location"
"user.flags","Flags","Alt text of flag list"
"user.flags.flag","%s flag","Alt text of specific flag from list"
"editor.title","profile editor","Title of profile editor"
"editor.field.name","your name","Name field label"
"editor.field.username","your (unique) username","Username field label"
"editor.field.avatar","avatar","Avatar field label"
"editor.field.banner","banner","Banner field label"
"editor.field.ring.label","displayed avatar ring","Ring field label"
"editor.field.ring.rotation","ring rotation (degrees)","Ring rotation field label"
"editor.field.country","country","Country field label"
"editor.field.flags","pride flags","Flags field label"
"editor.field.bio","a bit about yourself","Bio field label"
